num,inc_time,arint,inc_type,location,dact
468,876651.0,6335.0,1.0,650,254
469,879305.0,2654.0,1.0,598,631
470,889163.0,9858.0,1.0,83,1155
471,895121.0,5958.0,1.0,77,233
472,901645.0,6524.0,1.0,455,216
473,905489.0,3844.0,1.0,34,320
474,906493.0,1004.0,2.0,570,2004
475,908424.0,1931.0,2.0,598,2090
476,909040.0,616.0,2.0,240,622
477,910061.0,1021.0,1.0,220,447
478,917538.0,7477.0,2.0,133,936
479,917624.0,86.0,1.0,140,274
480,917783.0,159.0,2.0,414,196
481,918620.0,837.0,1.0,166,376
482,921629.0,3009.0,2.0,426,750
483,925691.0,4062.0,1.0,599,208
484,933317.0,7626.0,1.0,447,662
485,934563.0,1246.0,3.0,531,2903
486,935181.0000000001,618.0000000001164,1.0,325,546
487,941002.0000000001,5821.0,1.0,247,303
488,943138.0000000001,2136.0,1.0,104,524
489,945769.0000000001,2631.0,2.0,411,666
490,946290.0000000001,521.0,2.0,90,1160
491,947592.0000000001,1302.0,1.0,577,761
492,950135.0000000001,2543.0,1.0,604,2141
493,951182.0000000001,1047.0,1.0,567,461
494,952717.0000000001,1535.0,1.0,340,354
495,954803.0000000001,2086.0,1.0,642,302
496,956276.0000000001,1473.0,1.0,654,804
497,956995.0000000001,719.0,1.0,217,680
498,958103.0000000001,1108.0,2.0,309,1355
499,959275.0000000001,1172.0,2.0,104,1662
500,963230.0000000001,3955.0,1.0,271,219
501,963809.0000000001,579.0,1.0,22,356
502,972323.0000000001,8514.0,1.0,327,421
503,977341.0000000001,5018.0,1.0,376,311
504,980590.0000000001,3249.0,2.0,570,1557
505,989596.0000000001,9006.0,3.0,544,5318
506,990530.0000000001,934.0,1.0,424,809
507,997876.0000000001,7346.0,2.0,436,1275
508,1000399.0000000001,2523.0,1.0,195,478
509,1006272.0000000001,5873.0,3.0,614,6196
510,1012923.0000000001,6651.0,1.0,211,175
511,1016103.0000000001,3180.0,1.0,481,486
512,1016206.0000000001,103.0,1.0,240,227
513,1017972.0000000001,1766.0,1.0,573,1323
514,1019633.0000000001,1661.0,2.0,72,2240
515,1021100.0000000001,1467.0,1.0,632,661
516,1022310.0000000001,1210.0,1.0,509,548
517,1023063.0000000001,753.0,1.0,421,1382
518,1023572.0000000001,509.0,2.0,429,885
519,1025024.0000000001,1452.0,1.0,94,211
520,1025880.0000000001,856.0,1.0,477,314
521,1026140.0000000001,260.0,1.0,412,219
522,1026148.0000000001,8.0,2.0,300,585
523,1026574.0000000001,426.0,1.0,333,711
524,1027473.0000000001,899.0,1.0,410,497
525,1029719.0000000001,2246.0,1.0,670,361
526,1030144.0000000001,425.0,2.0,147,928
527,1031865.0000000001,1721.0,1.0,660,344
528,1032644.0000000001,779.0,1.0,84,357
529,1034544.0000000001,1900.0,2.0,588,1182
530,1035013.0000000001,469.0,1.0,330,207
531,1037711.0000000001,2698.0,3.0,615,4594
532,1039171.0000000001,1460.0,1.0,201,1574
533,1039809.0000000001,638.0,1.0,576,540
534,1040152.0000000001,343.0,1.0,410,275
535,1040173.0000000001,21.0,1.0,664,414
536,1040964.0000000001,791.0,1.0,101,313
537,1040971.0000000001,7.0,1.0,234,217
538,1041490.0000000001,519.0,1.0,669,285
539,1041587.0000000001,97.0,1.0,399,304
540,1051246.0,9658.999999999884,1.0,115,620
541,1051437.0,191.0,2.0,613,1669
542,1051937.0,500.0,1.0,206,615
543,1055356.0,3419.0,3.0,112,3756
544,1058769.0,3413.0,1.0,177,126
545,1060862.0,2093.0,1.0,615,3366
546,1064115.0,3253.0,2.0,306,1277
547,1065316.0,1201.0,1.0,507,443
548,1066865.0,1549.0,3.0,615,3401
549,1074749.0,7884.0,1.0,126,803
550,1074971.0,222.0,2.0,416,1564
551,1079991.0,5020.0,1.0,546,261
552,1080441.0,450.0,1.0,624,188
553,1084999.0,4558.0,1.0,521,960
554,1086627.0,1628.0,2.0,613,1906
555,1088110.0,1483.0,1.0,615,364
556,1088757.0,647.0,2.0,475,1385
557,1088875.0,118.0,2.0,104,703
558,1091798.0,2923.0,2.0,685,447
559,1091995.0,197.0,1.0,594,224
560,1092341.0,346.0,1.0,416,944
561,1094024.0,1683.0,1.0,351,457
562,1094070.0,46.0,1.0,534,303
563,1095116.0,1046.0,2.0,83,571
564,1095294.0,178.0,1.0,539,536
565,1095949.0,655.0,2.0,325,1263
566,1096629.0,680.0,3.0,80,2899
567,1096775.0,146.0,1.0,301,387
568,1096852.0,77.0,1.0,376,457
569,1097056.0,204.0,1.0,218,343
570,1098798.0,1742.0,1.0,100,211
571,1098876.0,78.0,1.0,59,248
572,1099671.0,795.0,1.0,581,245
573,1099716.0,45.0,1.0,86,366
574,1100127.0,411.0,1.0,343,402
575,1101006.0,879.0,1.0,377,461
576,1102300.0,1294.0,1.0,216,354
577,1102375.0,75.0,1.0,577,460
578,1102518.0,143.0,1.0,159,265
579,1102863.0,345.0,1.0,193,123
580,1103573.0,710.0,1.0,620,638
